system:time_start,GSB95_NDVI
8/12/1995,0.499
8/28/1995,0.572
8/14/1996,0.476
8/30/1996,0.589
8/17/1997,0.543
8/20/1998,0.417
8/23/1999,0.395
8/25/2000,0.303
8/28/2001,0.222
8/15/2002,0.397
8/31/2002,0.036
8/18/2003,0.296
8/4/2004,0.38
8/20/2004,0.421
8/7/2005,0.178
8/23/2005,0.243
8/10/2006,0.303
8/13/2007,0.23
8/15/2008,0.161
8/31/2008,0.222
8/18/2009,0.396
8/5/2010,0.286
8/21/2010,0.082
8/8/2011,0.275
8/24/2011,0.079
8/29/2013,0.019
8/16/2014,0.277
8/3/2015,0.298
8/19/2015,0.337
8/5/2016,0.216
8/21/2016,0.182
8/8/2017,0.017
8/24/2017,0.117
8/11/2018,0.008
8/27/2018,0.146
8/14/2019,0
8/30/2019,0.051
