system:time_start,GSB_95_00_NDVI
8/12/1995,0.466
8/28/1995,0.536
8/14/1996,0.21
8/30/1996,0.528
8/17/1997,0.456
8/20/1998,0.5
8/23/1999,0.523
8/25/2000,0.521
8/28/2001,0.473
8/15/2002,0.389
8/31/2002,0.047
8/18/2003,0.464
8/4/2004,0.498
8/20/2004,0.497
8/7/2005,0.114
8/23/2005,0.477
8/10/2006,0.467
8/13/2007,0.419
8/15/2008,0.177
8/31/2008,0.464
8/18/2009,0.42
8/5/2010,0.313
8/21/2010,0.2
8/8/2011,0.357
8/24/2011,0.238
8/29/2013,0.069
8/16/2014,0.168
8/3/2015,0.307
8/19/2015,0.287
8/5/2016,0.181
8/21/2016,0.152
8/8/2017,0.012
8/24/2017,0.108
8/11/2018,0.025
8/27/2018,0.203
8/14/2019,0.051
8/30/2019,-0.07
