system:time_start,JB19_NDVI
8/12/1995,0.045
8/28/1995,0.104
8/5/1996,0.22
8/14/1996,0.085
8/30/1996,0.145
8/17/1997,0.4
8/24/1997,0.228
8/20/1998,0.367
8/27/1998,0.024
8/23/1999,0.303
8/30/1999,0.038
8/16/2000,-0.055
8/25/2000,0.235
8/3/2001,0.011
8/19/2001,0.062
8/28/2001,0.144
8/6/2002,0.294
8/15/2002,0.135
8/22/2002,0.227
8/31/2002,0.062
8/18/2003,-0.039
8/25/2003,0.337
8/4/2004,-0.079
8/11/2004,0.158
8/20/2004,-0.03
8/27/2004,0.225
8/7/2005,0.059
8/14/2005,0.215
8/23/2005,0.009
8/1/2006,0.094
8/10/2006,0.037
8/17/2006,0.257
8/4/2007,0.049
8/13/2007,-0.083
8/6/2008,-0.139
8/15/2008,0.045
8/22/2008,-0.016
8/31/2008,0.085
8/18/2009,0.325
8/25/2009,-0.048
8/5/2010,0.162
8/21/2010,0.073
8/28/2010,-0.137
8/8/2011,0.169
8/24/2011,0.045
8/31/2011,-0.179
8/4/2013,0.383
8/20/2013,0.336
8/29/2013,0.044
8/7/2014,0.48
8/16/2014,0.301
8/3/2015,0.456
8/10/2015,0.619
8/19/2015,0.651
8/26/2015,0.629
8/5/2016,0.617
8/12/2016,0.622
8/21/2016,0.537
8/28/2016,0.542
8/8/2017,0.067
8/24/2017,0.453
8/31/2017,0.51
8/2/2018,0.564
8/11/2018,0.007
8/18/2018,0.556
8/27/2018,0.164
8/5/2019,0.062
8/14/2019,0.335
8/21/2019,0.499
8/30/2019,0.543
8/7/2020,0.049
8/23/2020,0.005
