system:time_start,JB_95_00_NDVI
8/12/1995,0.065
8/28/1995,-0.078
8/5/1996,0.004
8/14/1996,0.067
8/30/1996,-0.16
8/17/1997,0.077
8/24/1997,-0.089
8/20/1998,0.002
8/27/1998,0.024
8/23/1999,0.085
8/30/1999,0.04
8/16/2000,-0.035
8/25/2000,0.348
8/3/2001,0.002
8/19/2001,-0.02
8/28/2001,0.103
8/6/2002,0.177
8/15/2002,-0.172
8/22/2002,0.103
8/31/2002,0.044
8/18/2003,-0.105
8/25/2003,0.085
8/4/2004,-0.143
8/11/2004,0.055
8/20/2004,-0.036
8/27/2004,0.193
8/7/2005,0.04
8/14/2005,-0.049
8/23/2005,-0.289
8/1/2006,-0.034
8/10/2006,-0.073
8/17/2006,-0.105
8/4/2007,-0.007
8/13/2007,-0.038
8/6/2008,-0.312
8/15/2008,-0.052
8/22/2008,-0.083
8/31/2008,-0.08
8/18/2009,0.249
8/25/2009,-0.011
8/5/2010,-0.064
8/21/2010,0.049
8/28/2010,-0.096
8/8/2011,0.032
8/24/2011,0.056
8/31/2011,-0.122
8/4/2013,-0.073
8/20/2013,-0.207
8/29/2013,-0.474
8/7/2014,0.341
8/16/2014,-0.034
8/3/2015,-0.285
8/10/2015,0.018
8/19/2015,-0.497
8/26/2015,0.049
8/5/2016,-0.472
8/12/2016,-0.335
8/21/2016,-0.545
8/28/2016,0.185
8/8/2017,0.019
8/24/2017,-0.354
8/31/2017,-0.282
8/2/2018,-0.123
8/11/2018,0.009
8/18/2018,0.006
8/27/2018,0.027
8/5/2019,0.041
8/14/2019,0.032
8/21/2019,-0.093
8/30/2019,-0.368
8/7/2020,-0.032
8/23/2020,0.007
