system:time_start,SOB19_NDVI
8/12/1995,-0.291
8/28/1995,-0.313
8/14/1996,0.031
8/30/1996,-0.332
8/17/1997,0.016
8/20/1998,0.043
8/23/1999,0.162
8/25/2000,0.183
8/28/2001,0.158
8/15/2002,0.139
8/31/2002,0.084
8/18/2003,-0.152
8/4/2004,-0.14
8/20/2004,-0.052
8/7/2005,0.037
8/23/2005,-0.321
8/10/2006,-0.006
8/13/2007,0.067
8/15/2008,0.205
8/31/2008,0.034
8/18/2009,0.355
8/5/2010,0.274
8/21/2010,0.094
8/8/2011,0.331
8/24/2011,0.171
8/29/2013,0.068
8/16/2014,0.298
8/3/2015,0.317
8/19/2015,0.469
8/5/2016,0.403
8/21/2016,0.342
8/8/2017,0.006
8/24/2017,0.48
8/11/2018,0.198
8/27/2018,0.315
8/14/2019,0.122
8/30/2019,0.565
