event_id,state,state_fips,cz_fips,cz_name,begin_location,event_type,cz_type,begin_day,begin_month,begin_year,end_day,end_year,end_month,event_type_coarse,date,gsb95_ndvi,gsb19_ndvi,gsb_95_00_ndvi,jb95_ndvi,jb19_ndvi,jb_95_00_ndvi,sob95_ndvi,sob19_ndvi,sob_95_00_ndvi,day,monthly_msl
5610694,NEW YORK,36,81,QUEENS,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610694,NEW YORK,36,81,QUEENS,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610591,NEW YORK,36,81,QUEENS,LAGUARDIA AIRPORT,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610591,NEW YORK,36,81,QUEENS,LAGUARDIA AIRPORT,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610696,NEW YORK,36,103,SUFFOLK,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610696,NEW YORK,36,103,SUFFOLK,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610687,NEW YORK,36,103,SUFFOLK,BABYLON,Coastal Flood,C,20,8,1997,21,1997,8,Flood,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610687,NEW YORK,36,103,SUFFOLK,BABYLON,Coastal Flood,C,20,8,1997,21,1997,8,Flood,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610692,NEW YORK,36,59,NASSAU,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610692,NEW YORK,36,59,NASSAU,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610595,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610595,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610686,NEW YORK,36,59,NASSAU,FREEPORT,Coastal Flood,C,20,8,1997,21,1997,8,Flood,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610686,NEW YORK,36,59,NASSAU,FREEPORT,Coastal Flood,C,20,8,1997,21,1997,8,Flood,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610596,NEW YORK,36,103,SUFFOLK,NORTH BABYLON,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610596,NEW YORK,36,103,SUFFOLK,NORTH BABYLON,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610572,NEW YORK,36,59,NASSAU,MINEOLA,Hail,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610572,NEW YORK,36,59,NASSAU,MINEOLA,Hail,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610573,NEW YORK,36,81,QUEENS,QUEENS,Thunderstorm Wind,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610573,NEW YORK,36,81,QUEENS,QUEENS,Thunderstorm Wind,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5610574,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Hail,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-17,0.543,0.266,0.456,0.494,0.4,0.077,0.505,0.016,0.131,17,0.03
5610574,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Hail,C,5,8,1997,5,1997,8,Thunderstorm,1997-08-24,NA,NA,NA,0.449,0.228,-0.089,NA,NA,NA,24,0.03
5660641,NEW YORK,36,81,QUEENS,NORTHWEST PORTION,Flash Flood,C,17,8,1998,17,1998,8,Flood,1998-08-20,0.417,0.271,0.5,0.406,0.367,0.002,0.436,0.043,0.095,20,0.029
5660641,NEW YORK,36,81,QUEENS,NORTHWEST PORTION,Flash Flood,C,17,8,1998,17,1998,8,Flood,1998-08-27,NA,NA,NA,0.023,0.024,0.024,NA,NA,NA,27,0.029
5661363,NEW YORK,36,103,SUFFOLK,EAST QUOGUE,Flood,C,18,8,1998,18,1998,8,Flood,1998-08-20,0.417,0.271,0.5,0.406,0.367,0.002,0.436,0.043,0.095,20,0.029
5661363,NEW YORK,36,103,SUFFOLK,EAST QUOGUE,Flood,C,18,8,1998,18,1998,8,Flood,1998-08-27,NA,NA,NA,0.023,0.024,0.024,NA,NA,NA,27,0.029
5717788,NEW YORK,36,81,QUEENS,LONG IS CITY,Flood,C,26,8,1999,26,1999,8,Flood,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717788,NEW YORK,36,81,QUEENS,LONG IS CITY,Flood,C,26,8,1999,26,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717908,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,26,8,1999,26,1999,8,Flood,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717908,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,26,8,1999,26,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717759,NEW YORK,36,103,SUFFOLK,PORT JEFFERSON,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717759,NEW YORK,36,103,SUFFOLK,PORT JEFFERSON,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717760,NEW YORK,36,103,SUFFOLK,FARMINGVILLE,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717760,NEW YORK,36,103,SUFFOLK,FARMINGVILLE,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717758,NEW YORK,36,103,SUFFOLK,CENTEREACH,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717758,NEW YORK,36,103,SUFFOLK,CENTEREACH,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717764,NEW YORK,36,103,SUFFOLK,DEER PARK,Flash Flood,C,11,8,1999,11,1999,8,Flood,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717764,NEW YORK,36,103,SUFFOLK,DEER PARK,Flash Flood,C,11,8,1999,11,1999,8,Flood,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717757,NEW YORK,36,81,QUEENS,ROCKAWAY BEACH,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717757,NEW YORK,36,81,QUEENS,ROCKAWAY BEACH,Hail,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5717755,NEW YORK,36,59,NASSAU,OYSTER BAY,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-23,0.395,0.29,0.523,0.35,0.303,0.085,0.346,0.162,0.108,23,0.047
5717755,NEW YORK,36,59,NASSAU,OYSTER BAY,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm,1999-08-30,NA,NA,NA,0.046,0.038,0.04,NA,NA,NA,30,0.047
5169542,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flash Flood,C,11,8,2000,11,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169542,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flash Flood,C,11,8,2000,11,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169548,NEW YORK,36,59,NASSAU,BAYVILLE,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169548,NEW YORK,36,59,NASSAU,BAYVILLE,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169549,NEW YORK,36,81,QUEENS,KENNEDY INTL ARPT,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169549,NEW YORK,36,81,QUEENS,KENNEDY INTL ARPT,Flash Flood,C,12,8,2000,12,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169540,NEW YORK,36,59,NASSAU,NORTHWEST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169540,NEW YORK,36,59,NASSAU,NORTHWEST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169537,NEW YORK,36,103,SUFFOLK,AMITYVILLE,Heavy Rain,C,14,8,2000,14,2000,8,Heavy Rain,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169537,NEW YORK,36,103,SUFFOLK,AMITYVILLE,Heavy Rain,C,14,8,2000,14,2000,8,Heavy Rain,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169541,NEW YORK,36,81,QUEENS,NORTHEAST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169541,NEW YORK,36,81,QUEENS,NORTHEAST PORTION,Flash Flood,C,28,8,2000,28,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5169534,NEW YORK,36,103,SUFFOLK,AMAGANSETT,Flash Flood,C,1,8,2000,1,2000,8,Flood,2000-08-25,0.303,0.323,0.521,0.306,0.235,0.348,0.44,0.183,0.453,25,0.047
5169534,NEW YORK,36,103,SUFFOLK,AMAGANSETT,Flash Flood,C,1,8,2000,1,2000,8,Flood,2000-08-16,NA,NA,NA,-0.055,-0.055,-0.035,NA,NA,NA,16,0.047
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265156,NEW YORK,36,103,SUFFOLK,HUNTINGTON,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265154,NEW YORK,36,81,QUEENS,BAYSIDE,Flash Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265161,NEW YORK,36,81,QUEENS,RICHMOND HILL,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265155,NEW YORK,36,59,NASSAU,SYOSSET,Flood,C,13,8,2001,13,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265149,NEW YORK,36,59,NASSAU,ROSLYN,Thunderstorm Wind,C,10,8,2001,10,2001,8,Thunderstorm,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-28,0.222,0.363,0.473,0.161,0.144,0.103,0.377,0.158,0.134,28,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-03,NA,NA,NA,0.012,0.011,0.002,NA,NA,NA,3,-0.009
5265164,NEW YORK,36,59,NASSAU,MANHASSET,Flood,C,14,8,2001,14,2001,8,Flood,2001-08-19,NA,NA,NA,0.169,0.062,-0.02,NA,NA,NA,19,-0.009
