event_id,state,state_fips,cz_fips,cz_name,begin_location,event_type,cz_type,begin_day,begin_month,begin_year,end_day,end_year,end_month,event_type_coarse
5610694,NEW YORK,36,81,QUEENS,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain
5610591,NEW YORK,36,81,QUEENS,LAGUARDIA AIRPORT,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm
5610696,NEW YORK,36,103,SUFFOLK,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain
5610687,NEW YORK,36,103,SUFFOLK,BABYLON,Coastal Flood,C,20,8,1997,21,1997,8,Flood
5610692,NEW YORK,36,59,NASSAU,COUNTYWIDE,Heavy Rain,C,20,8,1997,21,1997,8,Heavy Rain
5610595,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm
5610686,NEW YORK,36,59,NASSAU,FREEPORT,Coastal Flood,C,20,8,1997,21,1997,8,Flood
5610596,NEW YORK,36,103,SUFFOLK,NORTH BABYLON,Thunderstorm Wind,C,16,8,1997,16,1997,8,Thunderstorm
5610572,NEW YORK,36,59,NASSAU,MINEOLA,Hail,C,5,8,1997,5,1997,8,Thunderstorm
5610573,NEW YORK,36,81,QUEENS,QUEENS,Thunderstorm Wind,C,5,8,1997,5,1997,8,Thunderstorm
5610574,NEW YORK,36,59,NASSAU,NORTH MASSAPEQUA,Hail,C,5,8,1997,5,1997,8,Thunderstorm
5660641,NEW YORK,36,81,QUEENS,NORTHWEST PORTION,Flash Flood,C,17,8,1998,17,1998,8,Flood
5661363,NEW YORK,36,103,SUFFOLK,EAST QUOGUE,Flood,C,18,8,1998,18,1998,8,Flood
5717788,NEW YORK,36,81,QUEENS,LONG IS CITY,Flood,C,26,8,1999,26,1999,8,Flood
5717908,NEW YORK,36,103,SUFFOLK,WEST PORTION,Flash Flood,C,26,8,1999,26,1999,8,Flood
5717759,NEW YORK,36,103,SUFFOLK,PORT JEFFERSON,Hail,C,5,8,1999,5,1999,8,Thunderstorm
5717760,NEW YORK,36,103,SUFFOLK,FARMINGVILLE,Hail,C,5,8,1999,5,1999,8,Thunderstorm
5717758,NEW YORK,36,103,SUFFOLK,CENTEREACH,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm
5717764,NEW YORK,36,103,SUFFOLK,DEER PARK,Flash Flood,C,11,8,1999,11,1999,8,Flood
5717757,NEW YORK,36,81,QUEENS,ROCKAWAY BEACH,Hail,C,5,8,1999,5,1999,8,Thunderstorm
5717755,NEW YORK,36,59,NASSAU,OYSTER BAY,Thunderstorm Wind,C,5,8,1999,5,1999,8,Thunderstorm
